t,driver,x,y
50,TSU,-879,5051
50,VER,6375,14507
50,ZHO,-1161,1780
52,ALB,5711,14481
52,ALO,325,13004
52,BOT,-1071,2818
52,COL,-1042,3159
52,GAS,-264,9133
52,HAM,7367,15110
52,HUL,3976,14380
52,LEC,9410,15736
52,MAG,-427,10356
52,NOR,10981,14177
52,OCO,-273,8329
52,PER,6472,14518
52,PIA,10801,15387
52,RIC,-267,11818
52,RUS,10057,15882
52,SAI,8281,15332
52,STR,-923,4541
52,TSU,-744,6636
52,VER,6890,14722
52,ZHO,-1143,1984
54,ALB,6531,14528
54,ALO,1509,13906
54,BOT,-1053,3028
54,COL,-1018,3434
54,GAS,-421,10049
54,HAM,8159,15296
54,HUL,5525,14473
54,LEC,10245,15857
54,MAG,-323,11578
54,NOR,11068,13058
54,OCO,-148,8667
54,PER,6859,14680
54,PIA,10953,14591
54,RIC,383,13074
54,RUS,10782,15430
54,SAI,9299,15699
54,STR,-828,5642
54,TSU,-653,7719
54,VER,7193,15049
54,ZHO,-1090,2606
56,ALB,6876,14705
56,ALO,3132,14306
56,BOT,-1030,3302
56,COL,-982,3849
56,GAS,-356,11381
56,HAM,9130,15641
56,HUL,6509,14523
56,LEC,10835,15305
56,MAG,277,12942
56,NOR,10547,12294
56,OCO,-312,9329
56,PER,7090,14990
56,PIA,11040,13498
56,RIC,1727,14001
56,RUS,10973,14310
56,SAI,10311,15839
56,STR,-711,7027
56,TSU,-486,8259
56,VER,7612,15159
56,ZHO,-1068,2859
58,ALB,7044,14955
58,ALO,4776,14438
58,BOT,-1001,3632
58,COL,-926,4507
58,GAS,133,12734
58,HAM,10177,15872
58,HUL,6885,14718
58,LEC,10971,14332
58,MAG,1467,13885
58,NOR,9756,11883
58,OCO,-427,10363
58,PER,7552,15149
58,PIA,10936,12598
58,RIC,3326,14326
58,RUS,11066,13142
58,SAI,10851,15257
58,STR,-639,7860
58,TSU,-158,8450
58,VER,8324,15346
58,ZHO,-1044,3137
60,ALB,7310,15093
60,ALO,6173,14497
60,BOT,-955,4170
60,COL,-841,5491
60,GAS,1262,13779
60,HAM,10850,15261
60,HUL,7086,14987
60,LEC,11065,13189
60,MAG,2986,14288
60,NOR,9069,11506
60,OCO,-312,11628
60,PER,8438,15382
60,PIA,10175,12106
60,RIC,4994,14450
60,RUS,10761,12426
60,SAI,10976,14257
60,STR,-486,8258
60,TSU,-194,8869
60,VER,9367,15722
60,ZHO,-1018,3432
62,ALB,7915,15223
62,ALO,6863,14683
62,BOT,-872,5135
62,COL,-719,6928
62,GAS,3000,14290
62,HAM,10989,14063
62,HUL,7407,15119
62,LEC,10729,12404
62,MAG,4823,14441
62,NOR,8368,11110
62,OCO,370,13058
62,PER,9702,15830
62,PIA,9121,11536
62,RIC,6413,14510
62,RUS,9884,11952
62,SAI,11065,12998
62,STR,-155,8462
62,TSU,-382,9667
62,VER,10485,15758
62,ZHO,-972,3971
64,ALB,8687,15473
64,ALO,7139,15022
64,BOT,-791,6079
64,COL,-655,7700
64,GAS,4406,14414
64,HAM,11065,13178
64,HUL,7816,15199
64,LEC,10104,12070
64,MAG,5968,14490
64,NOR,7800,10779
64,OCO,1366,13835
64,PER,10538,15722
64,PIA,8372,11112
64,RIC,6834,14655
64,RUS,9119,11535
64,SAI,10769,12432
64,STR,-174,8794
64,TSU,-424,10572
64,VER,10900,15052
64,ZHO,-912,4661
66,ALB,9870,15870
66,ALO,7613,15160
66,BOT,-690,7273
66,COL,-527,8216
66,GAS,5995,14491
66,HAM,10710,12391
66,HUL,8672,15467
66,LEC,9088,11517
66,MAG,6668,14565
66,NOR,6999,10181
66,OCO,2967,14286
66,PER,10938,14759
66,PIA,7466,10553
66,RIC,7163,15035
66,RUS,8228,11031
66,SAI,10021,12026
66,STR,-357,9529
66,TSU,-220,11979
66,VER,11011,13796
66,ZHO,-811,5838
68,ALB,10719,15536
68,ALO,7985,15244
68,BOT,-609,8039
68,COL,-228,8351
68,GAS,6758,14603
68,HAM,9880,11950
68,HUL,9755,15844
68,LEC,7998,10898
68,MAG,6982,14894
68,NOR,6269,9550
68,OCO,4616,14429
68,PER,11036,13539
68,PIA,6624,9858
68,RIC,7839,15204
68,RUS,7436,10531
68,SAI,9085,11515
68,STR,-422,10639
68,TSU,544,13245
68,VER,10978,12662
68,ZHO,-717,6950
70,ALB,10951,14612
70,ALO,8495,15402
70,BOT,-363,8309
70,COL,-143,8615
70,GAS,7088,14991
70,HAM,9043,11491
70,HUL,10572,15695
70,LEC,7316,10437
70,MAG,7400,15118
70,NOR,5453,8841
70,OCO,6096,14494
70,PER,10938,12601
70,PIA,5896,9226
70,RIC,8346,15353
70,RUS,6732,9953
70,SAI,8043,10924
70,STR,-254,11865
70,TSU,1823,14037
70,VER,10263,12150
70,ZHO,-651,7733
72,ALB,11058,13292
72,ALO,9452,15750
72,BOT,-142,8589
72,COL,-246,9062
72,GAS,7805,15196
72,HAM,8060,10934
72,HUL,10940,14736
72,LEC,6625,9859
72,MAG,8140,15290
72,NOR,4424,7946
72,OCO,6876,14699
72,PER,10054,12043
72,PIA,5051,8491
72,RIC,8891,15553
